 ,clang-3.3,clang-3.4,clang-3.5,gcc-4.6,gcc-4.7,gcc-4.8,gcc-4.9
categories - 50 percentile,74,72,74,74,72,72,72
categories_admin - 50 percentile,86,84,86,86,84,84,84
home - 50 percentile,52,50,51,52,50,50,50
home_admin - 50 percentile,74,72,73,74,71,72,71
topic - 50 percentile,14,14,14,15,14,14,14
topic_admin - 50 percentile,32,32,32,33,32,32,32
categories - 75 percentile,79,77,79,80,78,77,77
categories_admin - 75 percentile,91,89,91,91,89,88,90
home - 75 percentile,53,51,52,53,51,51,51
home_admin - 75 percentile,75,74,74,76,73,74,73
topic - 75 percentile,15,14,14,15,14,14,14
topic_admin - 75 percentile,33,32,33,33,32,32,32
categories - 90 percentile,87,85,86,88,85,86,86
categories_admin - 90 percentile,98,97,99,99,96,97,98
home - 90 percentile,62,59,60,61,60,59,60
home_admin - 90 percentile,84,83,84,85,82,82,83
topic - 90 percentile,15,15,15,15,14,15,15
topic_admin - 90 percentile,34,34,33,33,32,33,33
categories - 99 percentile,107,99,103,107,106,107,98
categories_admin - 99 percentile,117,116,117,119,120,119,116
home - 99 percentile,71,71,71,75,73,73,69
home_admin - 99 percentile,99,98,99,103,102,101,100
topic - 99 percentile,22,22,22,23,22,21,22
topic_admin - 99 percentile,42,41,41,41,40,43,42
