"",clang-3.3,clang-3.4,clang-3.5,gcc-4.6,gcc-4.7,gcc-4.8,gcc-4.9
app_answer,0.39,0.39,0.39,-10.61,3.14,3.14,3.14
app_aobench,0.35,-1.67,-1.08,0.55,1.74,0.58,-0.46
app_erb,1.27,1.76,2.04,-0.59,-0.59,-0.66,-3.22
app_factorial,0.74,0.42,0.63,-0.34,-0.88,-0.12,-0.45
app_fib,-5.53,-5.85,-4.7,-1.08,5.34,6.49,5.34
app_lc_fizzbuzz,0.39,-3.3,0.59,-2.75,5.74,3.75,-4.42
app_mandelbrot,-1.56,-1.49,0.47,-0.73,3.19,3.11,-2.99
app_pentomino,4.76,4.89,4.73,-4.77,-5.44,-3.41,-0.75
app_raise,-1.08,2.7,2.7,13.05,-2.34,-0.58,-14.46
app_strconcat,3.16,5.22,5.3,-5.4,-0.29,-2.35,-5.65
app_tak,-4.53,-4.3,-4.41,-2.07,4.01,5.88,5.42
app_tarai,-4.07,-3.92,-3.92,-1.48,3.27,4.56,5.57
app_uri,2.47,4.35,4.07,-1.01,-2.7,-1.48,-5.7
hash_aref_miss,4.17,4.52,2.23,-1.46,-6.02,-4.79,1.36
hash_aref_str,5.22,4.07,4.84,-5.49,-5.11,-6.07,2.54
hash_aref_sym,5.73,1.96,1.96,-2.53,-6.07,-3.47,2.43
hash_aref_sym_long,6.13,2.04,2.04,-2.06,-6.64,-4.52,3.02
hash_flatten,-2.46,-0.9,-0.31,-5.79,2.83,3.81,2.83
hash_ident_num,5.0,1.99,2.27,-3.2,-5.66,-5.12,4.73
hash_ident_obj,4.53,5.9,1.8,-4.5,-6.14,-5.32,3.71
hash_ident_str,4.49,3.66,2.56,-3.51,-6.81,-4.88,4.49
hash_ident_sym,4.58,1.97,1.97,-1.94,-5.59,-5.59,4.58
hash_keys,2.08,2.37,2.08,-1.48,-1.78,-1.48,-1.78
hash_shift,2.82,0.85,0.85,-1.13,-1.13,-1.13,-1.13
hash_values,-0.84,0.34,0.34,0.34,0.34,0.34,-0.84
io_file_create,-0.73,-0.8,-0.42,1.99,1.34,0.19,-1.58
io_file_read,8.31,7.32,8.4,-3.58,-5.16,-6.01,-9.27
io_file_write,1.6,1.24,2.6,3.61,-3.5,-2.04,-3.5
