,clang-3.3,clang-3.4,clang-3.5,gcc-4.6,gcc-4.7,gcc-4.8,gcc-4.9
app_answer,0.073,0.073,0.073,0.065,0.075,0.075,0.075
app_aobench,68.071,66.702,67.103,68.208,69.016,68.227,67.526
app_erb,1.464,1.471,1.475,1.437,1.437,1.436,1.399
app_factorial,0.933,0.930,0.932,0.923,0.918,0.925,0.922
app_fib,0.574,0.572,0.579,0.601,0.640,0.647,0.640
app_lc_fizzbuzz,73.639,70.931,73.787,71.338,77.564,76.108,70.110
app_mandelbrot,1.306,1.307,1.333,1.317,1.369,1.368,1.287
app_pentomino,18.803,18.827,18.798,17.093,16.972,17.337,17.814
app_raise,0.392,0.407,0.407,0.448,0.387,0.394,0.339
app_strconcat,1.253,1.278,1.279,1.149,1.211,1.186,1.146
app_tak,0.816,0.818,0.817,0.837,0.889,0.905,0.901
app_tarai,0.667,0.668,0.668,0.685,0.718,0.727,0.734
app_uri,1.091,1.111,1.108,1.054,1.036,1.049,1.004
hash_aref_miss,0.593,0.595,0.582,0.561,0.535,0.542,0.577
hash_aref_str,0.550,0.544,0.548,0.494,0.496,0.491,0.536
hash_aref_sym,0.448,0.432,0.432,0.413,0.398,0.409,0.434
hash_aref_sym_long,0.648,0.623,0.623,0.598,0.570,0.583,0.629
hash_flatten,0.498,0.506,0.509,0.481,0.525,0.530,0.525
hash_ident_num,0.384,0.373,0.374,0.354,0.345,0.347,0.383
hash_ident_obj,0.382,0.387,0.372,0.349,0.343,0.346,0.379
hash_ident_str,0.379,0.376,0.372,0.350,0.338,0.345,0.379
hash_ident_sym,0.401,0.391,0.391,0.376,0.362,0.362,0.401
hash_keys,0.344,0.345,0.344,0.332,0.331,0.332,0.331
hash_shift,0.052,0.051,0.051,0.050,0.050,0.050,0.050
hash_values,0.338,0.342,0.342,0.342,0.342,0.342,0.338
io_file_create,2.923,2.921,2.932,3.003,2.984,2.950,2.898
io_file_read,2.187,2.167,2.189,1.947,1.915,1.898,1.832
io_file_write,1.115,1.111,1.126,1.137,1.059,1.075,1.059
io_select,1.416,1.398,1.392,1.338,1.318,1.309,1.358
io_select2,66.161,66.230,71.849,69.043,65.212,65.889,65.544
io_select3,17.508,17.586,17.597,17.898,17.790,17.821,18.183
loop_for,1.439,1.406,1.405,1.267,1.273,1.255,1.373
loop_generator,0.396,0.392,0.393,0.382,0.391,0.392,0.383
loop_times,1.272,1.291,1.305,1.165,1.149,1.156,1.283
loop_whileloop,0.611,0.612,0.612,0.571,0.565,0.564,0.581
loop_whileloop2,0.147,0.147,0.147,0.138,0.137,0.137,0.140
securerandom,0.683,0.691,0.693,0.688,0.646,0.645,0.676
so_ackermann,0.706,0.713,0.713,0.597,0.747,0.746,0.753
so_array,0.976,0.982,0.982,0.885,0.888,0.917,0.980
so_binary_trees,7.249,7.096,7.075,7.602,7.689,7.793,7.415
so_concatenate,4.089,4.103,4.082,3.923,4.098,3.994,4.203
so_count_words,0.273,0.273,0.273,0.247,0.245,0.246,0.240
so_exception,0.354,0.357,0.357,0.410,0.393,0.383,0.354
so_fannkuch,1.374,1.363,1.374,1.338,1.331,1.342,1.323
so_fasta,2.484,2.430,2.430,2.113,2.248,2.223,2.486
so_k_nucleotide,1.279,1.280,1.273,1.192,1.394,1.387,1.190
so_lists,0.604,0.592,0.594,0.675,0.716,0.737,0.720
so_mandelbrot,2.863,2.786,2.790,2.986,3.058,3.144,3.091
so_matrix,0.757,0.770,0.767,0.736,0.719,0.730,0.745
so_meteor_contest,3.487,3.415,3.430,3.256,3.236,3.208,3.390
so_nbody,1.849,1.689,1.674,1.997,1.924,1.939,1.850
so_nested_loop,1.171,1.132,1.134,1.039,1.044,1.038,1.110
so_nsieve,1.947,1.939,1.942,1.710,1.730,1.737,1.797
so_nsieve_bits,2.728,2.669,2.668,2.488,2.494,2.507,2.459
so_object,0.877,0.875,0.875,0.721,0.748,0.752,0.747
so_partial_sums,2.416,2.320,2.324,2.474,2.507,2.593,2.513
so_pidigits,0.620,0.621,0.621,0.609,0.607,0.604,0.602
so_random,0.563,0.561,0.562,0.485,0.491,0.487,0.640
so_reverse_complement,1.508,1.507,1.508,1.505,1.471,1.467,1.449
so_sieve,0.561,0.563,0.563,0.541,0.549,0.548,0.565
so_spectralnorm,2.027,2.201,2.201,2.014,2.045,2.052,2.077
vm1_attr_ivar*,1.224,1.180,1.185,1.105,1.215,1.189,1.179
vm1_attr_ivar_set*,1.419,1.299,1.293,1.245,1.468,1.447,1.385
vm1_block*,1.587,1.588,1.589,1.535,1.717,1.691,1.725
vm1_const*,0.250,0.251,0.251,0.266,0.276,0.272,0.265
vm1_ensure*,0.016,0.016,0.016,0.042,0.040,0.043,0.036
vm1_float_simple*,4.519,4.354,4.383,4.454,4.717,4.605,4.657
